paired_frames=260
# z0(地面参考,全点z 1%分位)=-0.77m  → 矮层(z0+0.03~z0+0.40)=[-0.74,-0.37]  高层>-0.37
t(s)	scan右前m	右矮	右高	左矮	左高	右矮簇(方位°@距离m,n,ring,最高zm)
267.29	  0.93	  132	 1545	  140	  442	-2°@2.93m,n=6,r1-3,z=-0.56 | -3°@2.68m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.55
267.38	  0.72	  163	 1234	  141	  445	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.68m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=109,r0-3,z=-0.56
267.49	  0.75	  140	 1033	  141	  436	-2°@2.95m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=107,r0-3,z=-0.56
267.60	  0.73	  206	  681	  141	  435	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.68m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=109,r0-3,z=-0.55
267.70	  5.43	  366	  303	  146	  430	-2°@2.94m,n=6,r1-3,z=-0.55 | -3°@2.69m,n=15,r0-3,z=-0.54 | -6°@2.63m,n=109,r0-3,z=-0.55
267.79	  5.43	  385	  295	  143	  432	-2°@2.93m,n=6,r1-3,z=-0.56 | -3°@2.69m,n=16,r0-3,z=-0.53 | -6°@2.63m,n=110,r0-3,z=-0.56
267.89	  5.43	  382	  294	  144	  431	-2°@2.98m,n=6,r1-3,z=-0.57 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
267.99	  5.43	  384	  292	  143	  432	-2°@2.96m,n=7,r1-3,z=-0.57 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
268.09	  5.43	  384	  294	  141	  432	-2°@2.96m,n=5,r1-3,z=-0.55 | -3°@2.70m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.56
268.19	  5.43	  381	  292	  140	  431	-2°@2.97m,n=5,r1-3,z=-0.57 | -3°@2.70m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.55
268.29	  5.43	  380	  291	  141	  437	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=109,r0-3,z=-0.55
268.39	  5.43	  379	  290	  145	  432	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=109,r0-3,z=-0.55
268.49	  5.43	  382	  297	  143	  438	-2°@2.96m,n=6,r1-3,z=-0.57 | -3°@2.68m,n=15,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.55
268.61	  5.43	  384	  292	  142	  434	-2°@2.94m,n=6,r1-3,z=-0.56 | -3°@2.70m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
268.70	  5.43	  380	  288	  141	  435	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=108,r0-3,z=-0.55
268.80	  5.43	  383	  297	  139	  438	-2°@2.94m,n=6,r1-3,z=-0.57 | -3°@2.68m,n=14,r0-3,z=-0.54 | -6°@2.63m,n=112,r0-3,z=-0.55
268.90	  5.43	  380	  294	  140	  433	-2°@2.95m,n=6,r1-3,z=-0.57 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
269.01	  5.43	  378	  294	  137	  431	-2°@2.98m,n=5,r1-3,z=-0.57 | -3°@2.70m,n=15,r0-3,z=-0.53 | -6°@2.63m,n=110,r0-3,z=-0.56
269.10	  5.43	  377	  295	  143	  430	-2°@2.95m,n=6,r1-3,z=-0.56 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
269.20	  5.43	  381	  296	  145	  430	-2°@2.95m,n=5,r1-3,z=-0.57 | -3°@2.70m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
269.30	  5.43	  380	  294	  142	  431	-2°@2.96m,n=5,r1-3,z=-0.57 | -3°@2.70m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
269.41	  5.43	  384	  291	  144	  434	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=111,r0-3,z=-0.56
269.50	  5.43	  382	  291	  140	  435	-2°@2.94m,n=6,r1-3,z=-0.56 | -3°@2.68m,n=16,r0-3,z=-0.53 | -6°@2.63m,n=109,r0-3,z=-0.56
269.60	  5.43	  382	  294	  142	  431	-2°@2.94m,n=6,r1-3,z=-0.56 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
269.70	  5.43	  382	  292	  142	  439	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=108,r0-3,z=-0.55
269.81	  5.43	  383	  292	  142	  431	-2°@2.99m,n=5,r1-3,z=-0.55 | -3°@2.70m,n=16,r0-3,z=-0.53 | -6°@2.63m,n=110,r0-3,z=-0.56
269.92	  5.43	  380	  295	  146	  430	-2°@2.94m,n=6,r1-3,z=-0.55 | -3°@2.69m,n=14,r0-3,z=-0.53 | -6°@2.63m,n=110,r0-3,z=-0.56
270.01	  5.42	  381	  295	  142	  431	-2°@2.94m,n=7,r1-3,z=-0.55 | -3°@2.68m,n=14,r0-3,z=-0.53 | -6°@2.63m,n=111,r0-3,z=-0.56
270.11	  5.43	  383	  292	  139	  441	-2°@2.94m,n=6,r1-3,z=-0.57 | -3°@2.68m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=109,r0-3,z=-0.56
270.21	  5.43	  383	  290	  145	  436	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=110,r0-3,z=-0.55
270.31	  5.43	  382	  290	  143	  434	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=107,r0-3,z=-0.55
270.41	  5.42	  383	  291	  140	  436	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=16,r0-3,z=-0.55 | -6°@2.63m,n=109,r0-3,z=-0.55
270.51	  5.43	  381	  289	  141	  435	-2°@2.96m,n=4,r1-3,z=-0.57 | -3°@2.70m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=108,r0-3,z=-0.55
270.61	  5.43	  382	  292	  143	  439	-2°@2.96m,n=6,r1-3,z=-0.57 | -3°@2.68m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.55
270.71	  5.43	  381	  295	  140	  439	-2°@2.96m,n=5,r1-3,z=-0.59 | -3°@2.69m,n=15,r0-3,z=-0.53 | -6°@2.63m,n=112,r0-3,z=-0.55
270.82	  5.43	  380	  295	  142	  434	-2°@2.95m,n=6,r1-3,z=-0.57 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
270.91	  5.42	  380	  294	  144	  431	-2°@2.94m,n=5,r1-3,z=-0.56 | -3°@2.70m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
271.02	  5.43	  378	  295	  147	  433	-2°@2.94m,n=6,r1-3,z=-0.56 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
271.12	  5.43	  385	  293	  143	  440	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.68m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.55
271.23	  5.43	  384	  294	  144	  433	-2°@2.95m,n=6,r1-3,z=-0.57 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
271.32	  5.43	  383	  289	  140	  436	-2°@2.92m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=108,r0-3,z=-0.56
271.43	  5.43	  385	  292	  138	  442	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.68m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.55
271.52	  5.43	  382	  291	  141	  440	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.67m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=108,r0-3,z=-0.56
271.62	  5.43	  382	  295	  140	  436	-2°@2.93m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=15,r0-3,z=-0.53 | -6°@2.63m,n=109,r0-3,z=-0.55
271.73	  5.43	  379	  292	  143	  435	-2°@2.94m,n=5,r1-3,z=-0.56 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
271.82	  5.43	  382	  291	  139	  438	-2°@2.94m,n=6,r1-3,z=-0.57 | -3°@2.68m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=109,r0-3,z=-0.56
271.93	  5.43	  378	  294	  141	  430	-2°@2.94m,n=5,r1-3,z=-0.56 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
272.03	  5.43	  383	  295	  139	  433	-2°@2.94m,n=5,r1-3,z=-0.54 | -3°@2.69m,n=17,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.56
272.13	  5.43	  383	  292	  141	  432	-2°@2.95m,n=6,r1-3,z=-0.57 | -3°@2.68m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=109,r0-3,z=-0.55
272.23	  5.43	  383	  295	  144	  431	-2°@2.96m,n=5,r1-3,z=-0.57 | -3°@2.70m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=111,r0-3,z=-0.56
272.33	  5.43	  379	  294	  146	  460	-2°@2.95m,n=5,r1-3,z=-0.56 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
272.43	  5.43	  381	  315	  169	  540	-2°@2.96m,n=6,r1-3,z=-0.57 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
272.53	  5.43	  245	  672	  153	  513	-2°@2.95m,n=6,r1-3,z=-0.57 | -3°@2.70m,n=16,r0-3,z=-0.54 | -6°@2.63m,n=110,r0-3,z=-0.56
272.63	  0.82	  191	 1002	  155	  495	-2°@2.94m,n=6,r1-3,z=-0.56 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
272.73	  0.94	  168	 1224	  171	  504	-2°@2.96m,n=6,r1-3,z=-0.57 | -3°@2.69m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=109,r0-3,z=-0.56
272.83	  1.11	  165	 1396	  187	  492	-2°@2.92m,n=6,r1-3,z=-0.56 | -3°@2.69m,n=14,r0-3,z=-0.52 | -6°@2.63m,n=110,r0-3,z=-0.56
272.93	  1.23	  127	 1511	  166	  454	-2°@2.96m,n=5,r1-3,z=-0.57 | -3°@2.70m,n=15,r0-3,z=-0.52 | -6°@2.63m,n=98,r0-3,z=-0.55
273.03	  1.36	  238	 1401	  146	  432	-2°@2.94m,n=5,r1-3,z=-0.56 | -3°@2.70m,n=15,r0-3,z=-0.52 | -5°@2.63m,n=79,r0-3,z=-0.55
273.13	  1.48	  301	 1288	  143	  433	-2°@2.95m,n=5,r1-3,z=-0.55 | -3°@2.70m,n=17,r0-3,z=-0.54 | -5°@2.63m,n=76,r0-3,z=-0.55
273.24	  1.58	  330	 1221	  145	  439	-2°@2.96m,n=6,r1-3,z=-0.57 | -3°@2.70m,n=14,r0-3,z=-0.52 | -5°@2.63m,n=82,r0-3,z=-0.56
273.34	  1.73	  420	 1155	  142	  436	-2°@2.95m,n=11,r1-3,z=-0.58 | -3°@2.69m,n=32,r0-3,z=-0.54 | -5°@2.63m,n=99,r0-3,z=-0.56
273.44	  1.86	  454	 1170	  143	  432	-6°@2.63m,n=156,r0-3,z=-0.56 | -11°@1.80m,n=52,r0-1,z=-0.45 | -16°@1.94m,n=5,r2-2,z=-0.39
273.54	  1.98	  482	 1110	  143	  434	-6°@2.63m,n=141,r0-3,z=-0.56 | -9°@2.32m,n=18,r0-2,z=-0.51 | -11°@2.05m,n=57,r0-2,z=-0.47
273.64	  2.07	  463	 1169	  143	  435	-10°@2.34m,n=31,r0-3,z=-0.53 | -11°@2.24m,n=6,r2-2,z=-0.43 | -12°@2.31m,n=41,r0-2,z=-0.53
273.74	  2.17	  465	 1146	  139	  436	-15°@2.11m,n=104,r0-2,z=-0.49 | -14°@3.41m,n=3,r4-4,z=-0.43 | -19°@2.72m,n=37,r0-3,z=-0.55
273.85	  2.29	  467	 1001	  138	  435	-15°@2.20m,n=18,r0-2,z=-0.55 | -19°@2.72m,n=67,r0-3,z=-0.56 | -18°@3.37m,n=22,r3-4,z=-0.48
273.94	  2.35	  506	  858	  139	  439	-19°@2.72m,n=52,r0-3,z=-0.54 | -21°@3.77m,n=25,r4-4,z=-0.49 | -21°@2.43m,n=79,r0-2,z=-0.57
274.04	  2.40	  476	  800	  143	  435	-23°@1.84m,n=39,r0-1,z=-0.49 | -22°@2.40m,n=54,r0-2,z=-0.55 | -23°@2.69m,n=31,r3-3,z=-0.46
274.14	  2.47	  397	  730	  140	  431	-2°@3.24m,n=10,r2-4,z=-0.52 | -3°@3.11m,n=4,r1-3,z=-0.57 | -6°@2.95m,n=81,r1-3,z=-0.57
274.24	  2.56	  390	  703	  144	  428	-2°@3.30m,n=9,r2-4,z=-0.52 | -3°@3.10m,n=4,r2-4,z=-0.48 | -5°@3.03m,n=74,r1-3,z=-0.58
274.34	  2.64	  414	  655	  145	  432	-2°@3.31m,n=6,r2-4,z=-0.52 | -3°@3.12m,n=4,r2-4,z=-0.46 | -5°@3.18m,n=8,r1-1,z=-0.73
274.45	  2.69	  399	  625	  140	  427	-2°@3.24m,n=8,r1-4,z=-0.52 | -5°@3.17m,n=74,r1-4,z=-0.53 | -5°@3.15m,n=6,r2-4,z=-0.46
274.56	  2.72	  393	  605	  141	  440	-2°@3.27m,n=8,r1-4,z=-0.53 | -5°@3.21m,n=77,r1-4,z=-0.53 | -11°@2.96m,n=15,r1-1,z=-0.69
274.66	  2.75	  384	  582	  141	  435	-2°@3.28m,n=8,r1-4,z=-0.53 | -5°@3.24m,n=75,r1-4,z=-0.53 | -11°@2.95m,n=21,r1-3,z=-0.65
274.75	  2.76	  380	  572	  144	  429	-2°@3.29m,n=9,r1-4,z=-0.53 | -5°@3.26m,n=71,r1-4,z=-0.53 | -14°@2.60m,n=78,r0-3,z=-0.58
274.85	  2.77	  381	  577	  141	  436	-2°@3.30m,n=8,r1-4,z=-0.53 | -5°@3.26m,n=71,r1-4,z=-0.53 | -13°@2.61m,n=76,r0-3,z=-0.58
274.95	  2.76	  381	  577	  144	  428	-2°@3.28m,n=9,r1-4,z=-0.53 | -5°@3.25m,n=71,r1-4,z=-0.53 | -13°@2.61m,n=72,r0-3,z=-0.59
275.05	  2.70	  380	  575	  140	  440	-2°@3.27m,n=8,r1-4,z=-0.53 | -5°@3.24m,n=74,r1-4,z=-0.53 | -12°@2.98m,n=22,r1-3,z=-0.63
275.15	  2.62	  377	  557	  142	  433	-2°@3.29m,n=9,r1-4,z=-0.55 | -5°@3.24m,n=76,r1-4,z=-0.53 | -12°@2.97m,n=23,r1-3,z=-0.63
275.25	  2.59	  374	  570	  144	  429	-2°@3.26m,n=9,r1-4,z=-0.52 | -5°@3.23m,n=74,r1-4,z=-0.53 | -11°@2.98m,n=22,r1-3,z=-0.63
275.35	  2.57	  364	  605	  141	  435	-2°@3.26m,n=8,r1-4,z=-0.53 | -5°@3.23m,n=75,r1-4,z=-0.53 | -11°@2.98m,n=17,r1-3,z=-0.62
275.45	  2.50	  368	  643	  144	  429	-2°@3.27m,n=8,r1-4,z=-0.53 | -5°@3.23m,n=75,r1-4,z=-0.53 | -11°@2.96m,n=19,r1-3,z=-0.61
275.55	  2.37	  379	  742	  142	  437	-2°@3.27m,n=9,r1-4,z=-0.58 | -5°@3.23m,n=77,r1-4,z=-0.53 | -10°@2.94m,n=24,r1-3,z=-0.63
275.66	  2.21	  401	  806	  144	  438	-2°@3.27m,n=9,r1-4,z=-0.58 | -5°@3.23m,n=74,r1-4,z=-0.53 | -9°@2.67m,n=23,r0-3,z=-0.52
275.76	  2.05	  386	  886	  145	  430	-2°@3.27m,n=10,r1-4,z=-0.54 | -5°@3.23m,n=64,r1-4,z=-0.54 | -9°@2.42m,n=44,r0-2,z=-0.55
275.86	  2.12	  382	  950	  142	  436	-2°@3.26m,n=9,r1-4,z=-0.52 | -4°@3.23m,n=56,r1-4,z=-0.51 | -8°@2.10m,n=76,r0-2,z=-0.48
275.96	  1.98	  359	 1042	  142	  433	-2°@3.28m,n=9,r1-4,z=-0.53 | -4°@3.23m,n=50,r1-4,z=-0.51 | -8°@1.87m,n=57,r0-2,z=-0.46
276.06	  1.75	  367	 1103	  140	  439	-2°@3.27m,n=8,r1-4,z=-0.56 | -4°@3.23m,n=46,r1-4,z=-0.51 | -4°@1.77m,n=8,r0-1,z=-0.44
276.16	  1.64	  299	 1252	  143	  426	-2°@3.28m,n=9,r1-4,z=-0.53 | -3°@3.23m,n=27,r1-4,z=-0.53 | -4°@1.67m,n=10,r0-1,z=-0.42
276.26	  1.41	  250	 1333	  143	  432	-2°@3.26m,n=8,r1-4,z=-0.52 | -3°@3.23m,n=14,r1-4,z=-0.55 | -4°@1.64m,n=8,r0-0,z=-0.43
276.36	  1.38	  179	 1382	  140	  436	-2°@3.26m,n=9,r1-4,z=-0.52 | -3°@3.23m,n=15,r1-4,z=-0.55 | -4°@1.61m,n=8,r0-0,z=-0.42
276.46	  1.29	  137	 1407	  144	  430	-2°@3.28m,n=8,r1-4,z=-0.53 | -4°@3.23m,n=34,r1-4,z=-0.53 | -5°@1.53m,n=6,r0-0,z=-0.40
276.56	  1.14	   87	 1393	  146	  432	-2°@3.27m,n=9,r1-4,z=-0.53 | -4°@3.23m,n=52,r1-4,z=-0.50 | -16°@3.40m,n=17,r2-3,z=-0.63
276.66	  0.97	   85	 1234	  143	  435	-2°@3.28m,n=9,r1-4,z=-0.53 | -5°@3.23m,n=76,r1-4,z=-0.53
276.77	  0.81	  154	  943	  144	  431	-2°@3.27m,n=8,r1-4,z=-0.53 | -5°@3.23m,n=76,r1-4,z=-0.53 | -13°@3.61m,n=15,r2-4,z=-0.58
276.87	  0.80	  307	  759	  141	  442	-2°@3.27m,n=8,r1-4,z=-0.57 | -5°@3.23m,n=78,r1-4,z=-0.53 | -13°@3.61m,n=13,r2-4,z=-0.59
276.97	  0.75	  334	  527	  144	  433	-2°@3.26m,n=9,r1-4,z=-0.52 | -5°@3.23m,n=75,r1-4,z=-0.53 | -13°@3.61m,n=13,r2-4,z=-0.58
277.07	  0.64	  335	  278	  138	  437	-2°@3.28m,n=9,r1-4,z=-0.53 | -5°@3.23m,n=75,r1-4,z=-0.53 | -13°@3.61m,n=14,r2-4,z=-0.57
277.17	  5.43	  337	  246	  142	  436	-2°@3.27m,n=9,r1-4,z=-0.53 | -5°@3.23m,n=77,r1-4,z=-0.54 | -13°@3.60m,n=15,r2-4,z=-0.58
277.27	  5.43	  335	  249	  143	  431	-2°@3.27m,n=9,r1-4,z=-0.52 | -5°@3.23m,n=75,r1-4,z=-0.53 | -13°@3.61m,n=14,r2-4,z=-0.57
277.37	  5.43	  337	  247	  142	  431	-2°@3.27m,n=10,r1-4,z=-0.54 | -5°@3.23m,n=75,r1-4,z=-0.53 | -13°@3.63m,n=15,r2-4,z=-0.59
277.47	  5.42	  337	  243	  143	  444	-2°@3.26m,n=8,r1-4,z=-0.57 | -5°@3.23m,n=78,r1-4,z=-0.53 | -13°@3.61m,n=15,r2-4,z=-0.58
277.57	  5.43	  337	  247	  141	  428	-2°@3.28m,n=9,r1-4,z=-0.53 | -5°@3.23m,n=77,r1-4,z=-0.53 | -13°@3.61m,n=14,r2-4,z=-0.57
277.67	  5.43	  338	  244	  138	  436	-2°@3.26m,n=8,r1-4,z=-0.55 | -5°@3.23m,n=77,r1-4,z=-0.53 | -13°@3.61m,n=15,r2-4,z=-0.59
277.78	  5.43	  337	  247	  147	  430	-2°@3.28m,n=9,r1-4,z=-0.53 | -5°@3.23m,n=77,r1-4,z=-0.53 | -13°@3.61m,n=14,r2-4,z=-0.57
