# t(s)	scanN	front_min(m)	all_min(m)	raw254	raw253	odom_x	odom_y
 101	  9	   0.742	     nan	 558	5004	   0.000	   0.000
 102	 10	   0.758	     nan	 556	4967	   0.000	   0.000
 103	 10	   0.726	     nan	 570	4997	   0.000	   0.000
 104	 10	   0.742	     nan	 565	5106	   0.000	   0.000
 105	 10	   0.746	     nan	 563	4955	   0.000	   0.000
 106	 10	   0.734	     nan	 561	5002	   0.000	   0.000
 107	 10	   0.702	     nan	 559	4987	   0.000	   0.000
 108	 10	   0.742	     nan	 568	5021	   0.000	   0.000
 109	 10	   0.718	     nan	 608	5201	   0.000	   0.000
 110	 10	   0.738	     nan	 586	5246	   0.000	   0.000
 111	 10	   0.742	     nan	 592	5263	   0.000	   0.000
 112	 10	   0.742	     nan	 614	5225	   0.000	   0.000
 113	  9	   0.502	     nan	 590	5298	   0.000	   0.000
 114	 10	   0.602	     nan	 532	5049	   0.000	   0.000
 115	 10	   0.740	     nan	 529	4801	   0.000	   0.000
 116	 10	   0.748	     nan	 532	4770	   0.000	   0.000
 117	 10	   0.748	     nan	 516	4783	   0.000	   0.000
 118	 10	   0.744	     nan	 580	5120	   0.000	   0.000
 119	 10	   0.744	     nan	 581	5111	   0.000	   0.000
 120	 10	   0.744	     nan	 556	5120	   0.000	   0.000
 121	 10	   0.620	     nan	 601	5368	   0.000	   0.000
 122	 10	   0.500	     nan	 528	4905	   0.000	   0.000
 123	 10	   0.740	     nan	 553	4942	   0.000	   0.000
 124	 10	   0.724	     nan	 535	4949	   0.000	   0.000
 125	  9	   0.724	     nan	 545	5010	   0.000	   0.000
 126	 10	   0.740	     nan	 581	5181	   0.000	   0.000
 127	 10	   0.768	     nan	 587	5130	   0.000	   0.000
 128	 10	   0.754	     nan	 575	5098	   0.000	   0.000
 129	 10	   0.724	     nan	 564	5082	   0.000	   0.000
 130	 10	   0.738	     nan	 532	5150	   0.000	   0.000
 131	 10	   0.746	     nan	 544	5045	   0.000	   0.000
 132	 10	   0.738	     nan	 547	5111	   0.000	   0.000
 133	 10	   0.778	     nan	 545	4997	   0.000	   0.000
 134	 10	   0.778	     nan	 550	4985	   0.000	   0.000
 135	 10	   0.502	     nan	 545	4952	   0.000	   0.000
 136	 10	   0.526	     nan	 566	5115	   0.000	   0.000
 137	  9	   0.746	     nan	 549	4985	   0.000	   0.000
 138	 10	   0.722	     nan	 569	5293	   0.000	   0.000
 139	 10	   0.500	     nan	 563	5257	   0.000	   0.000
 140	 10	   0.742	     nan	 562	5189	   0.000	   0.000
 141	 10	   0.730	     nan	 572	5355	   0.000	   0.000
 142	 10	   0.738	     nan	 558	5300	   0.000	   0.000
 143	 10	   0.778	     nan	 576	5148	   0.000	   0.000
 144	 10	   0.742	     nan	 584	5166	   0.000	   0.000
 145	 10	   0.746	     nan	 599	5196	   0.000	   0.000
 146	 10	   0.754	     nan	 590	5155	   0.000	   0.000
 147	 10	   0.726	     nan	 599	5164	   0.000	   0.000
 148	 10	   0.738	     nan	 578	5063	   0.000	   0.000
